stage,Endothelial,Epithelial,Germ,Immune,Muscle,Neuron
72hpf,0,1.97,0,0,0,0.28
21Day,0,1.11,0,0,0,1.11
3Month,0,3.22,0.1,1.04,0.1,0
22Month,0.14,2.32,0.14,0.68,0.27,0
