stage,Epithelial,Erythroid,Germ,Immune,Muscle,Secretory,Stromal
21Day,0,0,0,0,0.37,0,0
3Month,3.54,0.1,0.62,1.04,40.77,0.21,1.77
22Month,0.68,0,0.14,0,2.6,0,0.14
