stage,Epithelial,Erythroid,Germ,Muscle,Neuron,Other,Secretory,Stromal
24hpf,1,0,0,0,5,0,0,1
72hpf,0,0.56,0,0,1.13,0.28,0,0
21Day,0.74,0,0,0.37,0.74,0,0,0
3Month,1.25,0,6.66,0.1,0,0,0.1,0
22Month,3.28,0,0,0,0,0,0,0.14
