stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Neuron,Other,Stromal
24hpf,0,0,0,0,0,6,0,0
72hpf,0,0,1.41,0,0,1.97,0,0
21Day,0,0.37,1.11,0,0,0,0,0.37
3Month,0,0.1,0,0.1,0.1,0,0,0.21
22Month,0.14,2.46,0,0,0,0,0.27,0.14
