stage,Epithelial,Germ,Immune,Neuron,Stromal
24hpf,0,0,1,5,0
72hpf,2.25,0,0,0.56,0.56
21Day,1.48,0,0,0,0
3Month,0.31,0.1,0.1,0,0
22Month,0.41,0,0,0,0
