stage,Endothelial,Epithelial,Erythroid,Germ,Neuron,Secretory,Stromal
72hpf,0,1.69,0,0,0.56,0,0.28
21Day,0,1.48,0.37,0,0.74,0.74,0
3Month,0.73,1.66,0,0.52,0,0,0.21
