stage,Endothelial,Epithelial,Germ,Immune,Neuron,Stromal
24hpf,0,0,0,0,3,0
72hpf,0,1.13,0,0,20.57,0.56
21Day,0,0,0,0,8.88,0.37
3Month,0.1,0.52,0.21,0.21,0.1,0.1
22Month,0,0.14,0,0.14,0,0
