stage,Epithelial,Erythroid,Germ,Immune,Neuron
24hpf,0,0,0,0,1
72hpf,0,0,0,0,1.41
21Day,0,0.37,0,0.74,0.37
3Month,0.21,0,0.62,0,0
22Month,0,0,0.55,0,0
