stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Stromal
72hpf,0,0,0,0,0.56,0.28,0
21Day,0,4.07,0.37,0,4.44,0,1.85
3Month,0.21,1.04,0,0.21,6.45,0.1,0.1
22Month,0,0.14,0,0,1.91,0,0.14
