stage,Epithelial,Immune,Muscle,Neuron,Other,Secretory,Stromal
24hpf,0,0,1,7,0,0,0
72hpf,0.28,0.28,0.28,6.2,0.28,0,0.56
21Day,1.48,1.11,0.37,1.48,0,0.37,2.96
3Month,0.31,0,0,0,0,0,0
22Month,1.91,0.27,0,0.27,0,0,0.41
