stage,Endothelial,Epithelial,Erythroid,Immune,Muscle,Neuron,Other,Stromal
72hpf,0,0,0,0,0.28,1.69,0,0
21Day,0,0.37,0.37,0,0.37,2.22,0,0
3Month,0.1,2.7,0,0.21,0.83,0,0,0
22Month,0,5.88,0,0.14,0.41,0.14,0.14,0.27
