stage,Epithelial,Erythroid,Immune,Neuron,Other,Secretory,Stromal
21Day,0.37,0.74,0.37,0.37,0,0.74,0.37
3Month,0.31,0,0,0.21,0,0,0
22Month,4.92,0.14,0.82,0,0.41,0.14,0.27
