stage,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Other,Stromal
24hpf,0,0,0,0,0,1,0,0
72hpf,1.13,0,0,0,0.28,3.95,0,0.56
21Day,0,0.37,0,0,0.74,0.74,0,0.37
3Month,0.94,0,1.25,0.1,0,0.1,0,0
22Month,2.05,0,0.55,0.55,0,0,0.27,0
