stage,Epithelial,Erythroid,Immune,Neuron,Secretory
24hpf,0,0,0,1,0
72hpf,0.28,0.56,0,3.38,0.28
21Day,0.74,0.37,0,1.11,0
3Month,0.31,0,0.1,0,0
22Month,0.27,0,0,0,0
