stage,Endothelial,Epithelial,Germ,Immune,Muscle,Other,Stromal
24hpf,0,0,0,0,0,0,2
72hpf,0,0.28,0,0,0,0,0.28
3Month,0,0.21,0.1,0.1,0,0,0.1
22Month,0.27,1.09,0.14,0.41,0.27,0.14,0
