stage,Epithelial,Erythroid,Muscle,Neuron,Secretory
24hpf,0,0,1,1,0
72hpf,0,0,0,8.46,0
21Day,0.37,0.37,0.37,7.77,0.37
22Month,0.55,0.14,0,0,0
