stage,Endothelial,Epithelial,Immune,Neuron,Other,Stromal
24hpf,0,0,0,1,0,0
21Day,0,0,0.37,0,0,0.37
3Month,0,0.62,0.21,0,0,0
22Month,0.14,3.55,0.55,0,0.27,0.55
