stage,Endothelial,Epithelial,Germ,Muscle,Neuron,Other,Stromal
24hpf,0,1,0,0,5,1,0
72hpf,0,0.85,0,0.28,0.85,0,0.28
21Day,0.37,0.74,0,0,1.85,0,1.85
3Month,0,0.31,0.83,0,0.31,0,0
