stage,Epithelial,Erythroid,Muscle,Neuron,Secretory,Stromal
24hpf,0,0,0,11,0,1
72hpf,0,0,0.56,4.79,0,1.97
21Day,0.37,0.74,0,9.25,0.74,1.85
3Month,0.1,0,0,0.21,0,0
