stage,Endothelial,Epithelial,Erythroid,Germ,Muscle,Neuron,Stromal
24hpf,0,2,0,0,0,3,1
72hpf,0,0,0.28,0,0,7.61,0.56
21Day,0,1.48,0.37,0,0.37,4.44,3.33
3Month,0,0.42,0,0.21,0.1,0,0
22Month,0.14,0.14,0,0,0,0,0.14
