stage,Epithelial,Immune,Other,Secretory,Stromal
72hpf,0.28,0,0,0,0
21Day,1.48,0,0,0,0
3Month,5.62,0.42,0.1,0.1,0.1
22Month,3.28,0.14,0.14,0,0.27
