stage,Epithelial,Germ,Immune,Muscle,Neuron,Secretory,Stromal
24hpf,0,0,1,0,4,0,0
72hpf,0.28,0,0,0.28,3.1,0,1.13
21Day,1.48,0,0,0,0,0,0.37
3Month,4.16,8.43,0.31,0,0,0.31,0
22Month,0.55,0.14,0.14,0,0,0,0
