stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm
3dpf,0.65,0,0,0.82,0.67,0,0.33
5dpf,0,0,0,0,1.57,0.29,0
10dpf,1.85,1.47,2.23,0,0.58,0,0
