stage,central_nervous_system,endoderm,hematopoietic_system,mesenchyme,neural_crest,notochord,periderm
2dpf,2.12,0,0,0,0,0,0
3dpf,4.97,0,0,0,0,0,0
5dpf,35.87,0.38,0.87,3.76,1.5,1.15,1.95
10dpf,20.92,0.39,0,1.53,0,0,0
