stage,central_nervous_system,endoderm,lateral_mesoderm,neural_crest,paraxial_mesoderm,periderm
2dpf,2.02,0,0.91,0.74,0,0
3dpf,0.35,0,0,0,0,0
5dpf,0,0,0,0.6,0,0.3
10dpf,0,0.43,0,0,1.35,0
