stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,periderm
10hpf,50.22,0,0,0,0,0,0,0,0
12hpf,11.13,0,0,0,0,0,0,0,0
14hpf,18.81,0,0,3.82,0,0,0,0,0
16hpf,28.44,0,0,21.21,0,0,0,0,2.21
19hpf,47.59,0,0,14.55,0,0,0,0,0
24hpf,27.58,0,0,0,0,0,0,0,0.93
2dpf,123.54,0,0,18.16,5.09,8.23,0.93,0.71,4.77
3dpf,36.34,0,0,2.13,1.62,2.04,0.58,0,0.48
5dpf,63.63,1.62,0.68,8.97,0,6.51,0.72,0.86,8.13
10dpf,39.41,0,0.86,3.09,0.52,2.54,0,0,0
