stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,periderm
3dpf,0,0,0,0.84,0,0
5dpf,0.55,3.45,6.23,21.78,0.29,0.36
10dpf,0,8.43,0,10.93,0,0
