stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,9.54,8.87,0,0,0,0,0,0,0
12hpf,9.49,5.07,0,0,2.08,0,0,2.9,2.44
14hpf,7.88,0,0,2.42,5.35,8.32,0,0,0
16hpf,48.53,2.43,0,0,2.24,1.74,0,0,6.35
19hpf,141.88,0,0,0,0,1.53,0,0,0
24hpf,104.88,0,0,2.17,3.82,2.05,0.83,0,1.74
2dpf,304.56,4.42,1.41,11.66,78.69,101.04,14.71,30.71,13.06
3dpf,435.36,2.4,0.64,2.91,17.68,75.86,0,3.56,3.32
5dpf,68.78,5.8,4.98,10.42,11.21,92.07,1.82,4.86,38.67
10dpf,127.37,1.39,0.55,6.38,8.99,35.91,0.58,2.81,4.38
