stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,75.28
12hpf,0,16.67,0,0,2.13,0,0,4.09,219.55
14hpf,0,0,0,0,0,0,0,2.41,61.07
16hpf,0,0,0,0,2.12,0,0,0,305.92
19hpf,0,0,0,0,0,0,0,0,63.64
24hpf,4.29,0,0,0,1,0,0,0.84,123.64
2dpf,12.09,0,1.35,2.33,6.16,7.31,0,1.29,148.44
3dpf,8.01,0.81,0.57,0,0,1.99,0,0.46,92.99
5dpf,3.42,0,0,2.09,0.94,10.35,0.39,3.76,268.34
10dpf,5.69,0,0.38,0.95,1.25,3.56,0,0,41.15
