stage,central_nervous_system,lateral_mesoderm,mesenchyme,periderm
2dpf,0.92,0.73,0,0
3dpf,0,0,0,0.51
5dpf,1.36,0,0,1.45
10dpf,0.61,0,0.5,0.59
