stage,central_nervous_system,hematopoietic_system,mesenchyme,neural_crest,periderm
2dpf,0.6,0,0,0.94,0
3dpf,1.23,0,0,0.48,0.83
5dpf,12.5,1.44,0.92,1.68,7.6
10dpf,2.64,0.47,0,0,0
