stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest
2dpf,0,0,0,0,0,0,4.93
3dpf,0,0,0,0,0,0.4,0
5dpf,0,0.4,0,0,0,0,0
10dpf,1.08,0.42,0.38,1.08,0.55,1.05,1.38
