stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,0,21.91
12hpf,5.66,0,0,0,1.94,0,0,43.35,7.47,24.17
14hpf,4.75,0,0,0,0,0,0,4.76,0,15.64
16hpf,11.29,1.74,0,1.66,3.97,3.61,0,1.79,7.2,14.11
19hpf,4.89,0,0,0,1.51,0,0,1.57,0,0
24hpf,4.73,0.86,6.46,0.93,3.41,2.15,0,2.24,3.15,3
2dpf,55.74,2.03,4.12,7.38,25.25,80.16,14.81,3.73,24.5,26.05
3dpf,123.96,4.49,3.26,1.91,3.37,66.29,1.42,0,6.59,10.01
5dpf,21.08,8.34,7.11,13.51,7.95,86.63,4,2.92,12.64,55.42
10dpf,96.21,4.1,4.92,18.55,5.69,97.21,6.34,0,7.62,13.19
