stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,27.65
12hpf,0,0,0,0,0,0,0,0,12.02
14hpf,0,0,0,0,0,0,0,0,183.25
16hpf,0,0,0,0,0,0,0,0,38.77
19hpf,0,0,0,0,0,0,0,0,911.5
24hpf,4.66,0,0,0,0,0,0.84,3.46,322.71
2dpf,76.58,1.28,8.39,10.57,6.4,17.34,3.05,3.4,1551.85
3dpf,13.43,7.68,0,0.74,2.77,9.68,0,1.08,257.15
5dpf,2.24,10.08,0.52,1.09,0.74,15,1.56,2.13,788.69
10dpf,9.22,8.17,0,1.16,0,8.44,0,1.53,163.62
