stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,51.84,0,0,0,0,0,0
12hpf,2.42,300.71,3.54,0,2.01,0,0,0,4.84
14hpf,0,0,45.57,0,0,0,0,0,0
16hpf,0,89.95,0,0,0,0,0,0,0
19hpf,0,0,19.39,0,0,0,0,0,0
24hpf,5.08,31.65,884.98,0,0,0,0,9.51,3.53
2dpf,18.09,0.56,809.46,0.67,4.91,9.02,2.25,0,13
3dpf,12.88,1.13,373.29,0.63,0,6.29,0.33,0,2.74
5dpf,2.64,1.23,1080.05,3.18,0,27.4,1.6,0.47,22.12
10dpf,20.03,14.56,595.16,3.85,3.66,8.55,0,2.81,4.03
