stage,central_nervous_system,endoderm,intermediate_mesoderm,mesenchyme,neural_crest,periderm
2dpf,0.65,0,0,0,0.59,0
3dpf,1.67,0.49,0.58,1.74,0,0
10dpf,0,0,0,0,0,0.64
