stage,central_nervous_system,lateral_mesoderm,paraxial_mesoderm,periderm
2dpf,1.64,0,0,0
3dpf,3.79,0,0,1.19
5dpf,4.97,0.76,0.47,1.4
10dpf,9.36,0,0,1.9
