stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,18.97,0,0,0,0,0,0,0,0
12hpf,60.41,0,0,0,0,0,2.49,0,30.95
14hpf,29.05,5.39,0,0,0,0,10.24,3.66,113.87
16hpf,32.36,14.75,12.3,0,39.61,10.5,108.76,1.69,45.75
19hpf,54.82,0,3.9,0,4.06,1.76,149.48,0,67.27
24hpf,13.24,0,0,0,14.32,10.07,209.4,2.91,5.51
2dpf,31.59,2.49,5.15,26.13,49.78,112.39,80.47,101.08,16.86
3dpf,80.97,5.74,1.8,53.16,8.07,177.22,5.49,16.96,4.68
5dpf,28.2,10.51,13.11,79.35,6.45,116.99,11.51,26.12,16.26
10dpf,50.39,10.17,7.1,139.61,1.53,45.75,7.27,11.29,1.35
