stage,central_nervous_system,endoderm,intermediate_mesoderm,mesenchyme,periderm
2dpf,0,0,0,0.97,11.05
3dpf,0.49,5.18,0,0.88,1.71
5dpf,0,0.65,0.32,0.66,1.54
10dpf,0.5,2.31,0,0,0
