stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,18.85,0,0,0,17.89,0,0,171.04,126.53
12hpf,0,0,0,0,0,0,0,10.88,2
14hpf,7.73,0,0,0,48.75,19.57,0,164.62,41.38
16hpf,0,0,0,0,7.48,0,0,19.27,5.49
19hpf,19.22,0,0,0,5.01,7.18,0,17.87,5.05
24hpf,5,0,0,0,2.28,7.06,0,0.88,1.85
2dpf,3.66,0,0,2.28,13.13,45.77,1.75,6.67,2.22
3dpf,43.06,0,0,0,0,95.38,0,0.31,1.53
5dpf,0,0.87,0,0.53,0.78,51.12,0,2.13,0.49
10dpf,31.48,0,0.48,1.12,0,51.69,0,0.55,1.32
