stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,42.51,0,0,0,0,0,0,0,0
12hpf,36.14,0,0,0,0,0,0,1.89,0
14hpf,18.81,0,0,0,0,0,0,0,0
16hpf,21.84,0,0,15.92,0,0,0,0,0
19hpf,55.6,0,0,26.76,0,0,0,0,0
24hpf,9.64,0,0,1.42,0,0,0,0,0
2dpf,156.08,1.54,2.23,18.37,1.49,3.38,0.71,3.05,4.52
3dpf,61.68,0,0,4.69,0,5.83,0,0.35,0.86
5dpf,74.44,0,0,5.87,0,7.69,0.99,1.23,4.88
10dpf,54.54,0.8,0,6.96,0,2.69,1.82,0,0
