stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,4.44,0,0.88,1.76,6.78,5.85,0.64
3dpf,0,0.59,3.27,0.31,11.97,1.23,1.28
5dpf,1.55,0.53,0,0,4.52,5.01,0.67
10dpf,0.8,0,1.79,0.58,7.01,0,0
