stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,13.06,0,8.74,0,0,0,0,0,0,10.04
12hpf,0,1.84,11.38,0,0,0,0,1.95,0,0
14hpf,10.05,0,31.33,2.38,4.7,0,0,0,0,2.32
16hpf,24.46,1.78,0,3.45,21.3,1.74,0,2.15,8.02,14.28
19hpf,67.36,1.57,0,3.4,11.36,0,0,0,0,13.83
24hpf,5.38,0,0,0,0,0,0,0,0.9,0
2dpf,157.55,4.71,23.87,68.94,65.55,142.97,64.33,2.02,106.54,300.02
3dpf,708.21,8.67,9.99,20.2,17.21,166.4,6.21,0,8.88,71.3
5dpf,1174.7,155.76,427.54,821.03,271.99,3740.27,319.54,158.59,593.89,2707.39
10dpf,5203.64,132.97,352.64,487.44,163.13,1601.75,180.76,4.59,258.38,651.61
