stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,381.63
12hpf,0,0,0,0,0,0,0,0,12.34
14hpf,0,0,0,0,0,0,0,0,762.19
16hpf,3.67,4.02,0,0,0,0,3.48,0,41.2
19hpf,0,0,0,0,0,0,0,0,932.56
24hpf,0,4.58,0,0,0,0,0,0,54.77
2dpf,11.06,0.62,0,0.52,1.16,4,0.65,2.17,85.41
3dpf,16.91,0.31,0.29,0,1.55,6.11,0,1.31,63.24
5dpf,3.54,38.98,1.16,0.68,0.42,2.54,0,0.3,143.4
10dpf,4.72,24.82,2.27,0.96,0,1.58,0,0,28.76
