stage,hematopoietic_system,mesenchyme,paraxial_mesoderm,periderm
24hpf,0.84,0,0,0
2dpf,2.24,0,0.58,1.28
3dpf,3.44,0,0,0
5dpf,26.9,0.89,0,0.36
10dpf,9.7,1.13,0,1.19
