stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest
16hpf,2.16,0,0,0,0,0,0
19hpf,2.27,0,0,0,0,0,0
24hpf,15.67,0,0,0.91,0,0,0
2dpf,54.14,0,3.47,3.66,0,0.77,0.78
3dpf,83.8,0.42,0,0,0,0.34,0
5dpf,1.33,0,0,1.25,0.51,0.83,0
10dpf,66.89,0,0,4.02,0.67,0.39,0
