stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,12.18
12hpf,0,0,0,0,0,0,0,0,10.87
14hpf,3.06,0,0,0,0,0,0,0,13.06
16hpf,1.88,0,3.93,0,2.03,0,0,0,15.9
19hpf,3.15,0,0,4.41,0,0,0,0,2.43
24hpf,38.06,0.92,0,0,1.01,1,0.81,0,8
2dpf,86.08,6.89,6.72,20.44,19.31,29.13,12.11,20.91,117.97
3dpf,433.21,4.56,0.78,7.94,3.61,39.93,0.79,0.73,16.43
5dpf,49.65,6.33,2.13,36.12,5.45,56.41,4.9,8.32,135.17
10dpf,138.79,14.78,0.46,28.04,0,19.53,9.22,3.95,53.69
