stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest
2dpf,2.27,0,0.95,0,0.58
3dpf,50.97,0,0,1.37,0
5dpf,0,0.56,0,2.6,0
10dpf,31.94,1.47,0,1.51,0
