stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,62.46,0,0,0,0,0,0,0,0
12hpf,4.55,0,0,0,0,0,0,0,2.57
14hpf,206.59,0,0,0,9.98,0,0,7.39,0
16hpf,175.67,0,0,0,0,1.72,0,0,0
19hpf,899.82,0,0,0,0,0,0,0,0
24hpf,792.1,0,2.05,9.32,19.25,4.02,0.83,30.98,41.46
2dpf,405,0.68,5.56,2.73,1.81,9.75,0,4.28,27.29
3dpf,131.62,0,0,0,0,3.38,0,0.43,6.36
5dpf,106.66,0,0.9,3.51,0,16.48,2.56,2.2,13.87
10dpf,146.31,0,0,1.02,0,1.78,0,0,2.08
