stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,periderm
24hpf,2.05,0,0,0,0,0,1.27
2dpf,2.07,0,0,30.74,0.85,0,0
3dpf,1.78,9.83,0.3,43.04,0,1.76,0
5dpf,0.94,0.63,1.11,39.16,0,0.76,0
10dpf,0.49,4.23,3.61,35.2,0,0,0
