stage,central_nervous_system,endoderm,hematopoietic_system,mesenchyme,periderm
2dpf,1.75,0,0,1.04,13.02
3dpf,0,0,0,0.33,1
5dpf,0,0.83,0.49,0,6.01
10dpf,0,0,3.57,0,3.23
