stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,periderm
2dpf,1.98,0,0,0,3.1,1.88,0
3dpf,1.89,0,0,0.36,0,1.75,1.74
5dpf,0,1.21,1.54,0,0,1.72,6.63
10dpf,1.62,0.75,0.92,0,0,0.58,2.19
