stage,central_nervous_system,endoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm
2dpf,1.17,0,0,1.66,0
3dpf,66.55,0.71,0,1.94,0.33
5dpf,2.74,0,0,1.06,0
10dpf,20.65,1.51,1.2,2.2,0
