stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,paraxial_mesoderm
24hpf,2.86,0,0,0,0,0.91
2dpf,4.53,0,0,0,0.67,0
3dpf,24.52,0,0,0.34,0.51,0
5dpf,2.74,1.14,0.56,1.87,3.3,0.96
10dpf,37.02,2.21,0,1.1,0,0
