stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,7,0,3.33,5.21,0.83,2.22
3dpf,4.9,0,0,1.45,0.36,0
5dpf,0,0.98,0,3.02,0,0.45
10dpf,1.3,0,0.86,1.45,0,0
