stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
24hpf,0,0,0,0,0,0,0,0,0.87
2dpf,16.28,0,0,1.61,5.26,2.13,0,0,12.08
3dpf,45.07,0,0,0.45,0.42,0,0,0.54,7.13
5dpf,22.84,1.16,0.96,8.99,11.49,0.6,0.36,1.1,30.96
10dpf,113.27,1.74,0,8.1,8.4,0,0,1.86,9.31
