stage,central_nervous_system,mesenchyme,neural_crest,paraxial_mesoderm,periderm
2dpf,3.01,0,0,0,2.27
3dpf,17.7,0.61,0,0,0.96
5dpf,0.32,1.28,0.98,0.61,3.77
10dpf,24.24,1.22,0,0,0.63
