stage,central_nervous_system,endoderm,hematopoietic_system,mesenchyme,paraxial_mesoderm
3dpf,0.71,0,0,0,0
5dpf,0.85,0,0,1.11,0
10dpf,4.1,0.79,0.64,1.89,0.77
