stage,central_nervous_system,hematopoietic_system,mesenchyme,neural_crest,paraxial_mesoderm
2dpf,0,0,0,1,0
3dpf,2.95,0,0.68,0,0
5dpf,0,0,1.09,0,0
10dpf,1.6,0.39,0,0,0.5
