stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,9662.13,124.36,20.9,0,1928.11,51,0,52,4176.43,3838.48
12hpf,12313.35,304.13,10.01,315.77,3308.54,406.68,22.47,201.06,4011.3,5546.46
14hpf,8315.7,96.05,207.62,363.42,1784.7,304.53,92.75,109.82,2184.44,2539.56
16hpf,7640.81,281.04,221.78,286.68,2108.04,305.68,169.42,140.23,1934.4,2733.05
19hpf,13047.68,57.87,77.77,173.17,1200.02,219.44,156.6,47.69,419.86,1956.05
24hpf,14762.1,145.04,1553.29,540.04,3853.21,759.37,248.62,48.48,1054.65,1704.25
2dpf,4878.12,73.38,323.64,463.96,4006.63,2036.03,293.91,21.84,528.78,991.94
3dpf,7346.61,51.98,73.63,67.54,187.53,1193.27,62.58,0,68.72,170
5dpf,777.17,50.56,458.14,296.03,473.26,1717.69,121.19,24.18,331.94,547.79
10dpf,2029.81,53.63,310.72,146.82,81.18,1217.12,64.79,1.78,103.38,130.15
