stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,9.19,0,0,0,0,0,0,0,0
12hpf,1.81,0,0,0,0,0,0,0,1.76
14hpf,15.76,0,0,0,0,0,0,0,2.25
16hpf,15.17,3.78,0,1.66,3.82,0,0,1.68,3.95
19hpf,16.38,0,0,3.34,1.7,0,0,0,1.67
24hpf,81.53,2.17,0,7.48,25.11,17.98,7.82,9.57,1.82
2dpf,216.62,1.52,0,32.09,99.31,213.72,51.98,115.82,15.34
3dpf,36.9,0.67,0,9.5,18.46,274.73,1.39,15.01,2.44
5dpf,63.65,4.01,3.39,18.15,22.08,265.5,9.04,31.15,10.02
10dpf,25.31,1.83,0.4,4.54,9.61,186.12,11.6,22.91,0.82
