stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
14hpf,2.54,0,0,0,0,0,0,0
16hpf,0,0,0,0,0,0,1.71,0
2dpf,2.25,0,0,0,0,0,0,0
3dpf,23.5,0,0.48,1.03,0,0,0,0
5dpf,0.29,1.49,0,0.52,0.4,0.4,0,0.9
10dpf,6.85,1.51,0,0.98,0,0,0,0
