stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest
3dpf,0.35,0,0,0,2.45,0.4
5dpf,0,0,0.41,0,0.77,0
10dpf,2.66,0.93,0,0.46,0.9,0
