stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest
3dpf,29.21,0,0,0,0,0
5dpf,1.09,0,0,1.13,0.99,0.55
10dpf,36.92,0.4,0.84,0,0,0
